project,description,version,developers,url,year,licenses,license urls,dependency
Activity,Provides the base Activity subclass and the relevant hooks to build a composable structure on top.,1.2.4,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/activity#1.2.4,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.activity:activity:1.2.4
Activity,Provides the base Activity subclass and the relevant hooks to build a composable structure on top.,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/savedstate#1.1.0,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.savedstate:savedstate:1.1.0
Android AppCompat Library,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.3.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/appcompat#1.3.1,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.appcompat:appcompat:1.3.1
Android Arch-Common,Android Arch-Common,2.1.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.arch.core:core-common:2.1.0
Android Arch-Runtime,Android Arch-Runtime,2.1.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.arch.core:core-runtime:2.1.0
Android ConstraintLayout,ConstraintLayout for Android,2.0.4,The Android Open Source Project,http://tools.android.com,2007,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.constraintlayout:constraintlayout:2.0.4
Android ConstraintLayout Solver,Solver for ConstraintLayout,2.0.4,The Android Open Source Project,http://tools.android.com,2007,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.constraintlayout:constraintlayout-solver:2.0.4
Android Lifecycle LiveData,Android Lifecycle LiveData,2.0.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-livedata:2.0.0
Android Lifecycle LiveData Core,Android Lifecycle LiveData Core,2.3.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.3.1,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-livedata-core:2.3.1
Android Lifecycle Runtime,Android Lifecycle Runtime,2.3.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.3.1,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-runtime:2.3.1
Android Lifecycle ViewModel,Android Lifecycle ViewModel,2.3.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.3.1,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel:2.3.1
Android Lifecycle ViewModel with SavedState,Android Lifecycle ViewModel,2.3.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.3.1,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel-savedstate:2.3.1
Android Lifecycle-Common,Android Lifecycle-Common,2.3.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.3.1,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-common:2.3.1
Android Resources Library,The Resources Library is a static library that you can add to your Android application in order to use resource APIs that backport the latest APIs to older versions of the platform. Compatible on devices running API 14 or later.,1.3.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/appcompat#1.3.1,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.appcompat:appcompat-resources:1.3.1
Android Support AnimatedVectorDrawable,Android Support AnimatedVectorDrawable,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2015,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.vectordrawable:vectordrawable-animated:1.1.0
Android Support CardView v7,Android Support CardView v7,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.cardview:cardview:1.0.0
Android Support DynamicAnimation,Physics-based animation in support library, where the animations are driven by physics force. You can use this Animation library to create smooth and realistic animations.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.dynamicanimation:dynamicanimation:1.0.0
Android Support Library Annotations,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs.,1.2.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/annotation#1.2.0,2013,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.annotation:annotation:1.2.0
Android Support Library Async Layout Inflater,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.asynclayoutinflater:asynclayoutinflater:1.0.0
